,Algorithm,Fit Times (secs)
113,SKLearn SGDRegressor,0.0012038707733154296
114,SKLearn SGDRegressor,0.0008012771606445313
115,SKLearn SGDRegressor,0.0010048389434814454
116,SKLearn SGDRegressor,0.0009989738464355469
117,SKLearn SGDRegressor,0.0015927791595458985
118,SKLearn SGDRegressor,0.0012004375457763672
119,SKLearn SGDRegressor,0.001205778121948242
120,SKLearn SGDRegressor,0.000786733627319336
121,SKLearn SGDRegressor,0.0010071754455566405
122,SKLearn SGDRegressor,0.0009948253631591798
123,SKLearn SGDRegressor,0.0011919498443603515
124,SKLearn SGDRegressor,0.0009940147399902343
125,SKLearn SGDRegressor,0.0012015342712402345
126,SKLearn SGDRegressor,0.0010066032409667969
127,SKLearn SGDRegressor,0.0008013248443603516
128,SKLearn SGDRegressor,0.0011977672576904297
129,SKLearn SGDRegressor,0.0016005516052246093
130,SKLearn SGDRegressor,0.0010063648223876953
131,SKLearn SGDRegressor,0.0018033981323242188
132,SKLearn SGDRegressor,0.0010001182556152344
133,SKLearn SGDRegressor,0.00039930343627929686
134,SKLearn SGDRegressor,0.000998210906982422
135,SKLearn SGDRegressor,0.0010091304779052735
136,SKLearn SGDRegressor,0.0011976242065429687
137,SKLearn SGDRegressor,0.001403474807739258
138,SKLearn SGDRegressor,0.0010040760040283202
139,SKLearn SGDRegressor,0.0005982398986816406
140,SKLearn SGDRegressor,0.0010068893432617187
141,SKLearn SGDRegressor,0.001398324966430664
142,SKLearn SGDRegressor,0.0011934757232666016
143,SKLearn SGDRegressor,0.001805734634399414
144,SKLearn SGDRegressor,0.0009998798370361329
145,SKLearn SGDRegressor,0.0005997657775878906
146,SKLearn SGDRegressor,0.000999307632446289
147,SKLearn SGDRegressor,0.0009967803955078125
148,SKLearn SGDRegressor,0.0008013725280761718
149,SKLearn SGDRegressor,0.0012005329132080077
150,SKLearn SGDRegressor,0.0015879154205322265
151,SKLearn SGDRegressor,0.001399087905883789
152,SKLearn SGDRegressor,0.0018092155456542968
153,SKLearn SGDRegressor,0.001473855972290039
154,SKLearn SGDRegressor,0.0009945392608642577
155,SKLearn SGDRegressor,0.0013901233673095704
156,SKLearn SGDRegressor,0.0010016441345214843
157,SKLearn SGDRegressor,0.0008027553558349609
158,SKLearn SGDRegressor,0.0007976055145263672
159,SKLearn SGDRegressor,0.0009963035583496094
160,SKLearn SGDRegressor,0.0010015487670898438
161,SKLearn SGDRegressor,0.0012508392333984374
162,SKLearn SGDRegressor,0.0012058258056640626
163,SKLearn SGDRegressor,0.000990152359008789
164,SKLearn SGDRegressor,0.0015930652618408204
165,SKLearn SGDRegressor,0.0010008811950683594
166,SKLearn SGDRegressor,0.000998687744140625
167,SKLearn SGDRegressor,0.0014033794403076171
168,SKLearn SGDRegressor,0.0010114669799804687
169,SKLearn SGDRegressor,0.0006000041961669922
170,SKLearn SGDRegressor,0.0009711742401123047
171,SKLearn SGDRegressor,0.0009919166564941405
172,SKLearn SGDRegressor,0.0009957313537597655
173,SKLearn SGDRegressor,0.0012080669403076172
174,SKLearn SGDRegressor,0.0013942241668701172
175,SKLearn SGDRegressor,0.001401233673095703
176,SKLearn SGDRegressor,0.0020054340362548827
177,SKLearn SGDRegressor,0.0009996414184570313
178,SKLearn SGDRegressor,0.0009994983673095703
179,SKLearn SGDRegressor,0.0016029834747314452
180,SKLearn SGDRegressor,0.0014033317565917969
181,SKLearn SGDRegressor,0.0010000228881835937
182,SKLearn SGDRegressor,0.0020035266876220702
183,SKLearn SGDRegressor,0.0009935855865478515
184,SKLearn SGDRegressor,0.0009796142578125
185,SKLearn SGDRegressor,0.0012024879455566407
186,SKLearn SGDRegressor,0.007805681228637696
187,SKLearn SGDRegressor,0.0065972328186035155
188,SKLearn SGDRegressor,0.00900111198425293
189,SKLearn SGDRegressor,0.0017907142639160157
190,SKLearn SGDRegressor,0.0013997554779052734
191,SKLearn SGDRegressor,0.002194070816040039
192,SKLearn SGDRegressor,0.0015950679779052734
193,SKLearn SGDRegressor,0.0009950637817382813
194,SKLearn SGDRegressor,0.001999521255493164
195,SKLearn SGDRegressor,0.001200103759765625
196,SKLearn SGDRegressor,0.0009977340698242188
197,SKLearn SGDRegressor,0.0010026931762695313
198,SKLearn SGDRegressor,0.007517480850219726
199,SKLearn SGDRegressor,0.006635475158691406
200,SKLearn SGDRegressor,0.008887338638305663
201,SKLearn SGDRegressor,0.0014065742492675782
202,SKLearn SGDRegressor,0.0016009807586669922
203,SKLearn SGDRegressor,0.0022102832794189454
204,SKLearn SGDRegressor,0.0016046524047851562
205,SKLearn SGDRegressor,0.0013968944549560547
206,SKLearn SGDRegressor,0.00200347900390625
207,SKLearn SGDRegressor,0.0012012004852294921
208,SKLearn SGDRegressor,0.001008462905883789
209,SKLearn SGDRegressor,0.0010004520416259765
210,SKLearn SGDRegressor,0.007597208023071289
211,SKLearn SGDRegressor,0.006399726867675782
212,SKLearn SGDRegressor,0.009018754959106446
213,SKLearn SGDRegressor,0.0011993885040283204
214,SKLearn SGDRegressor,0.001395845413208008
215,SKLearn SGDRegressor,0.0020000457763671873
216,SKLearn SGDRegressor,0.0009963035583496094
217,SKLearn SGDRegressor,0.0010051727294921875
218,SKLearn SGDRegressor,0.0008031845092773438
219,SKLearn SGDRegressor,0.0011997222900390625
220,SKLearn SGDRegressor,0.0005969524383544922
221,SKLearn SGDRegressor,0.0011928558349609375
222,SKLearn SGDRegressor,0.000799560546875
223,SKLearn SGDRegressor,0.0009962558746337891
224,SKLearn SGDRegressor,0.0009953975677490234
225,SKLearn SGDRegressor,0.0018097400665283204
226,SKLearn SGDRegressor,0.001017284393310547
227,SKLearn SGDRegressor,0.0014042854309082031
228,SKLearn SGDRegressor,0.0005904197692871094
229,SKLearn SGDRegressor,0.0010046958923339844
230,SKLearn SGDRegressor,0.0008012771606445313
231,SKLearn SGDRegressor,0.001602029800415039
232,SKLearn SGDRegressor,0.0008018016815185547
