,Algorithm,$R^2$
0,SKLearn SGDRegressor,0.98128923220522
1,SKLearn SGDRegressor,0.9836416087127405
2,SKLearn SGDRegressor,0.9794175483021444
3,SKLearn SGDRegressor,0.0
4,SKLearn SGDRegressor,0.0
5,SKLearn SGDRegressor,0.0
6,SKLearn SGDRegressor,0.9894838095606218
7,SKLearn SGDRegressor,0.9895634265851431
8,SKLearn SGDRegressor,0.9895481294545132
9,SKLearn SGDRegressor,0.9892860975490819
10,SKLearn SGDRegressor,0.9892984629701125
11,SKLearn SGDRegressor,0.9893064376524954
12,SKLearn SGDRegressor,0.98128923220522
13,SKLearn SGDRegressor,0.9836416087127405
14,SKLearn SGDRegressor,0.9775305259452424
15,SKLearn SGDRegressor,0.0
16,SKLearn SGDRegressor,0.0
17,SKLearn SGDRegressor,0.0
18,SKLearn SGDRegressor,0.9894838095606218
19,SKLearn SGDRegressor,0.9895634265851431
20,SKLearn SGDRegressor,0.9895369896357613
21,SKLearn SGDRegressor,0.9892860975490819
22,SKLearn SGDRegressor,0.9892984629701125
23,SKLearn SGDRegressor,0.9893100002965631
24,SKLearn SGDRegressor,0.98128923220522
25,SKLearn SGDRegressor,0.9836416087127405
26,SKLearn SGDRegressor,0.977028041236417
27,SKLearn SGDRegressor,0.0
28,SKLearn SGDRegressor,0.0
29,SKLearn SGDRegressor,0.0
30,SKLearn SGDRegressor,0.9894838095606218
31,SKLearn SGDRegressor,0.9895634265851431
32,SKLearn SGDRegressor,0.9895748509110815
33,SKLearn SGDRegressor,0.9892860975490819
34,SKLearn SGDRegressor,0.9892984629701125
35,SKLearn SGDRegressor,0.9893113393923703
36,SKLearn SGDRegressor,0.9894314066952254
37,SKLearn SGDRegressor,0.9893788156993913
38,SKLearn SGDRegressor,0.9894267503428209
39,SKLearn SGDRegressor,0.0
40,SKLearn SGDRegressor,0.0
41,SKLearn SGDRegressor,0.0
42,SKLearn SGDRegressor,0.989392754265922
43,SKLearn SGDRegressor,0.9893671487481857
44,SKLearn SGDRegressor,0.989384234920333
45,SKLearn SGDRegressor,0.9893267211737834
46,SKLearn SGDRegressor,0.9893171091850868
47,SKLearn SGDRegressor,0.9893265646345857
48,SKLearn SGDRegressor,0.9894314066952254
49,SKLearn SGDRegressor,0.9893788156993913
50,SKLearn SGDRegressor,0.9893868971304729
51,SKLearn SGDRegressor,0.0
52,SKLearn SGDRegressor,0.0
53,SKLearn SGDRegressor,0.0
54,SKLearn SGDRegressor,0.989392754265922
55,SKLearn SGDRegressor,0.9893671487481857
56,SKLearn SGDRegressor,0.9893798441044348
57,SKLearn SGDRegressor,0.9893267211737834
58,SKLearn SGDRegressor,0.9893171091850868
59,SKLearn SGDRegressor,0.9893176479378664
60,SKLearn SGDRegressor,0.9894314066952254
61,SKLearn SGDRegressor,0.9893788156993913
62,SKLearn SGDRegressor,0.9893838703428859
63,SKLearn SGDRegressor,0.0
64,SKLearn SGDRegressor,0.0
65,SKLearn SGDRegressor,0.0
66,SKLearn SGDRegressor,0.989392754265922
67,SKLearn SGDRegressor,0.9893671487481857
68,SKLearn SGDRegressor,0.989369807256724
69,SKLearn SGDRegressor,0.9893267211737834
70,SKLearn SGDRegressor,0.9893171091850868
71,SKLearn SGDRegressor,0.9893174041572049
72,SKLearn SGDRegressor,0.989343610118557
73,SKLearn SGDRegressor,0.9893416756803731
74,SKLearn SGDRegressor,0.9893513780766885
75,SKLearn SGDRegressor,0.0
76,SKLearn SGDRegressor,0.0
77,SKLearn SGDRegressor,0.0
78,SKLearn SGDRegressor,0.9871979724908823
79,SKLearn SGDRegressor,0.9871692521450669
80,SKLearn SGDRegressor,0.987192490707559
81,SKLearn SGDRegressor,0.9893459595993376
82,SKLearn SGDRegressor,0.9893437924883616
83,SKLearn SGDRegressor,0.9893546893521427
84,SKLearn SGDRegressor,0.989343610118557
85,SKLearn SGDRegressor,0.9893416756803731
86,SKLearn SGDRegressor,0.9893482498664163
87,SKLearn SGDRegressor,0.0
88,SKLearn SGDRegressor,0.0
89,SKLearn SGDRegressor,0.0
90,SKLearn SGDRegressor,0.9871979724908823
91,SKLearn SGDRegressor,0.9871692521450669
92,SKLearn SGDRegressor,0.9871739640238018
93,SKLearn SGDRegressor,0.9893459595993376
94,SKLearn SGDRegressor,0.9893437924883616
95,SKLearn SGDRegressor,0.9893505638201407
96,SKLearn SGDRegressor,0.989343610118557
97,SKLearn SGDRegressor,0.9893416756803731
98,SKLearn SGDRegressor,0.9893467015186106
99,SKLearn SGDRegressor,0.0
100,SKLearn SGDRegressor,0.0
101,SKLearn SGDRegressor,0.0
102,SKLearn SGDRegressor,0.9871979724908823
103,SKLearn SGDRegressor,0.9871692521450669
104,SKLearn SGDRegressor,0.9871738546841602
105,SKLearn SGDRegressor,0.9893459595993376
106,SKLearn SGDRegressor,0.9893437924883616
107,SKLearn SGDRegressor,0.9893490197310586
108,SKLearn SGDRegressor,0.9841722837376787
109,SKLearn SGDRegressor,0.9840137103511335
110,SKLearn SGDRegressor,0.9834396741867113
111,SKLearn SGDRegressor,0.9875675405211052
112,SKLearn SGDRegressor,0.989188514044691
113,SKLearn SGDRegressor,0.9881639599402151
114,SKLearn SGDRegressor,0.9892335669621801
115,SKLearn SGDRegressor,0.989232129495926
116,SKLearn SGDRegressor,0.9893078785123416
117,SKLearn SGDRegressor,0.9894431333050162
118,SKLearn SGDRegressor,0.9893395922801982
119,SKLearn SGDRegressor,0.9894271610598862
120,SKLearn SGDRegressor,0.9841722837376787
121,SKLearn SGDRegressor,0.9840137103511335
122,SKLearn SGDRegressor,0.9834660951345654
123,SKLearn SGDRegressor,0.9875675405211052
124,SKLearn SGDRegressor,0.989188514044691
125,SKLearn SGDRegressor,0.9869450436185259
126,SKLearn SGDRegressor,0.9892335669621801
127,SKLearn SGDRegressor,0.989232129495926
